time,open,high,low,close,symbol,Spread,涨跌幅,上涨,下跌,上涨数量,下跌数量,上涨比例,rank_涨跌幅,rank_sum,rank
2021-01-01 05:59:00,24.952,25.49,23.52,23.826,FIL-USDT,0.0013911713158127,-0.04436066099791425,0,1,75,4,0.9493670886075949,1.0,1.0,1.0
2021-01-01 17:59:00,9.131,9.17,8.1,8.257,DOT-USDT,0.0018564131186527,-0.09551977215467189,0,1,31,48,0.3924050632911392,1.0,1.0,1.0
2021-01-02 05:59:00,14.312,14.314,11.329,11.615,ZEN-USDT,0.0019841269841269,-0.18923635348317747,0,1,42,37,0.5316455696202531,1.0,1.0,1.0
2021-01-02 17:59:00,3.7707,3.7777,3.435,3.4767,AVAX-USDT,0.0043331311205476,-0.07794515461730223,0,1,40,39,0.5063291139240507,1.0,1.0,1.0
2021-01-03 05:59:00,5.7206,5.7837,5.1251,5.166,WAVES-USDT,0.0024838935030662,-0.09652145018275937,0,1,26,53,0.3291139240506329,1.0,1.0,1.0
2021-01-03 17:59:00,2.3715,2.4101,2.0656,2.104,THETA-USDT,0.0007134363852556,-0.11223628691983123,0,1,67,12,0.8481012658227848,1.0,1.0,1.0
2021-01-04 05:59:00,0.011006,0.011554,0.009403,0.010092,DOGE-USDT,0.0024734034627647,-0.08304561148464473,0,1,76,3,0.9620253164556962,1.0,1.0,1.0
2021-01-04 17:59:00,0.30303,0.3214,0.23805,0.25562,ALPHA-USDT,0.0083629191321497,-0.1547516698631043,0,1,5,74,0.06329113924050633,1.0,1.0,1.0
2021-01-05 05:59:00,3.5748,3.7864,3.1123,3.1574,SUSHI-USDT,-0.0008227848101266,-0.11671235942483082,0,1,30,49,0.379746835443038,1.0,1.0,1.0
2021-01-05 17:59:00,1.00002,1.24663,0.8595,0.90562,CTK-USDT,-0.0044849950533141,-0.09439811203775916,0,1,78,1,0.9873417721518988,1.0,1.0,1.0
2021-01-06 05:59:00,2.2659,2.2982,1.9001,1.966,SOL-USDT,-0.0140421263791373,-0.13220039726329724,0,1,31,48,0.3924050632911392,1.0,1.0,1.0
2021-01-06 17:59:00,0.47618,0.49122,0.40528,0.45843,LRC-USDT,0.0051526048061742,-0.03727582006804142,0,1,74,5,0.9367088607594937,1.0,1.0,1.0
2021-01-07 05:59:00,0.785,0.7879999999999999,0.695,0.726,CRV-USDT,0.0069348127600554,-0.0751592356687899,0,1,42,37,0.5316455696202531,1.0,1.0,1.0
2021-01-07 17:59:00,0.03735,0.03778,0.03248,0.0338399999999999,MATIC-USDT,0.0038564224265793,-0.09518716577540387,0,1,41,38,0.5189873417721519,1.0,1.0,1.0
2021-01-08 05:59:00,1.5353,1.5366,0.99,1.1918,1INCH-USDT,-0.0068333333333333,-0.22454291105472057,0,1,2,77,0.02531645569620253,1.0,1.0,1.0
2021-01-08 17:59:00,0.18958,0.20462,0.15653,0.16513,CVC-USDT,0.0019416297554761,-0.1289693005591307,0,1,74,5,0.9367088607594937,1.0,1.0,1.0
2021-01-09 05:59:00,0.22196,0.23522,0.18887,0.19168,ENJ-USDT,0.0047174756263759,-0.13645988196603154,0,1,29,50,0.3670886075949367,1.0,1.0,1.0
2021-01-09 17:59:00,0.15158,0.15788,0.14243,0.1469,CVC-USDT,0.0044444444444444,-0.030618978487528037,0,1,74,5,0.9367088607594937,1.0,1.0,1.0
2021-01-10 05:59:00,1.3853,1.4537,1.2903,1.2964,RLC-USDT,0.00542888165038,-0.06410626624314175,0,1,66,13,0.8354430379746836,1.0,1.0,1.0
2021-01-10 17:59:00,3.805,3.938,2.924,3.092,EOS-USDT,0.0017494978293268,-0.1873850197109067,0,1,6,73,0.0759493670886076,1.0,1.0,1.0
2021-01-11 05:59:00,19.686,19.947,15.328,16.107,BAL-USDT,0.0004969252748616,-0.1828835227272727,0,1,1,78,0.012658227848101266,1.0,1.0,1.0
2021-01-11 17:59:00,0.665,0.6890000000000001,0.527,0.5760000000000001,CRV-USDT,-0.0051813471502588,-0.13513513513513498,0,1,6,73,0.0759493670886076,1.0,1.0,1.0
2021-01-12 05:59:00,21.435,21.933000000000003,20.94,21.932,FIL-USDT,0.0015206382114005,0.023377350566935684,1,0,79,0,1.0,1.0,1.0,1.0
2021-01-12 17:59:00,1.2993,1.3053,1.1147,1.183,TOMO-USDT,0.0016934801016088,-0.0890189434775912,0,1,14,66,0.175,1.0,1.0,1.0
2021-01-13 05:59:00,0.040496,0.041368,0.033805,0.035416,RSR-USDT,-0.0034890264490712,-0.1256819808921914,0,1,11,69,0.1375,1.0,1.0,1.0
2021-01-13 17:59:00,0.16943,0.17511,0.1561,0.1586,CVC-USDT,0.0002522704339051,-0.06452754512209513,0,1,78,2,0.975,1.0,1.0,1.0
2021-01-14 05:59:00,0.040428,0.041071,0.037725,0.038472,RSR-USDT,-0.0007272727272725,-0.04786417858733849,0,1,44,36,0.55,1.0,1.0,1.0
2021-01-14 17:59:00,3.3655,3.5674,3.1802,3.1866,SOL-USDT,-0.0009092334221664,-0.053185167577846526,0,1,75,5,0.9375,1.0,1.0,1.0
2021-01-15 05:59:00,0.1723299999999999,0.1734,0.15453,0.15522,CVC-USDT,0.0014193548387095,-0.09933851688522688,0,1,22,58,0.275,1.0,1.0,1.0
2021-01-15 17:59:00,24.561,25.62,21.564,22.935,ZEN-USDT,0.001572121053321,-0.06798602080624194,0,1,29,51,0.3625,1.0,1.0,1.0
2021-01-16 05:59:00,35992.35,37687.0,34820.0,35876.93,BTC-USDT,0.0006292120040038,-0.003354105974081034,0,1,76,4,0.95,1.0,1.0,1.0
2021-01-16 17:59:00,0.02361,0.025781,0.021033,0.021461,IOST-USDT,0.0019608758578832,-0.09129017233348846,0,1,73,7,0.9125,1.0,1.0,1.0
2021-01-17 05:59:00,0.02148,0.0218,0.017734,0.017937,IOST-USDT,0.0036369740376007,-0.16420483668049013,0,1,18,62,0.225,1.0,1.0,1.0
2021-01-17 17:59:00,14.1844,14.2669,12.5562,12.6996,AVAX-USDT,-0.0002676533102415,-0.1047919809392226,0,1,74,6,0.925,1.0,1.0,1.0
2021-01-18 05:59:00,2.6333,2.6892,2.3516,2.4664,NEAR-USDT,0.0018278565335716,-0.06291793313069904,0,1,42,38,0.525,1.0,1.0,1.0
2021-01-18 17:59:00,1.634,1.654,1.388,1.435,CRV-USDT,0.0027952480782669,-0.1217870257037943,0,1,46,34,0.575,1.0,1.0,1.0
2021-01-19 05:59:00,0.6066699999999999,0.64918,0.53573,0.53594,GRT-USDT,0.0070463556248707,-0.11616478116032858,0,1,43,37,0.5375,1.0,1.0,1.0
2021-01-19 17:59:00,7.4345,7.5464,6.9419,7.0389,SUSHI-USDT,0.002263989747971,-0.05296935123644486,0,1,54,27,0.6666666666666666,1.0,1.0,1.0
2021-01-20 05:59:00,0.1592,0.15935,0.13282,0.1378599999999999,SKL-USDT,0.0031288656043075,-0.1348603702541581,0,1,6,75,0.07407407407407407,1.0,1.0,1.0
2021-01-20 17:59:00,0.5529999999999999,0.57365,0.477,0.51288,GRT-USDT,-0.0021013308428673,-0.07315310105537098,0,1,20,62,0.24390243902439024,1.0,1.0,1.0
2021-01-21 05:59:00,0.43377,0.44693,0.39333,0.40438,ENJ-USDT,0.0001483973090621,-0.06880670566020353,0,1,32,50,0.3902439024390244,1.0,1.0,1.0
2021-01-21 17:59:00,1.30732,1.54197,0.8012,0.94038,CTK-USDT,-0.0227787592226957,-0.2799926497048397,0,1,5,78,0.060240963855421686,1.0,1.0,1.0
2021-01-22 05:59:00,0.12217,0.12614,0.09274,0.1057,SKL-USDT,-0.0027361071799226,-0.1341033833046612,0,1,23,60,0.27710843373493976,1.0,1.0,1.0
2021-01-22 17:59:00,1066.8,1084.8,1015.0,1058.4,DOTECO-USDT,,-0.007594936708860689,0,1,82,1,0.9879518072289156,1.0,1.0,1.0
2021-01-23 05:59:00,0.66484,0.66989,0.62,0.65495,REN-USDT,0.0029862174578867,-0.014757205608038948,0,1,68,15,0.8192771084337349,1.0,1.0,1.0
2021-01-23 17:59:00,1.82514,1.83888,1.63317,1.70925,BEL-USDT,0.0011421542786855,-0.06354780741162813,0,1,48,35,0.5783132530120482,1.0,1.0,1.0
2021-01-24 05:59:00,1.8026,1.84,1.73,1.7347,HNT-USDT,0.0032967032967032,-0.03836132823327243,0,1,66,17,0.7951807228915663,1.0,1.0,1.0
2021-01-24 17:59:00,0.01779,0.01791,0.0158199999999999,0.01622,AKRO-USDT,0.005081174866774,-0.08825182686902766,0,1,30,53,0.3614457831325301,1.0,1.0,1.0
2021-01-25 05:59:00,2.5934,2.6396,2.4,2.4847,KAVA-USDT,0.0033516394766597,-0.0416554171327187,0,1,71,12,0.8554216867469879,1.0,1.0,1.0
2021-01-25 17:59:00,0.062525,0.06355,0.0526,0.05327,FTM-USDT,-0.0003753049352597,-0.1482932288752099,0,1,27,57,0.32142857142857145,1.0,1.0,1.0
2021-01-26 05:59:00,0.64866,0.67297,0.5747,0.59126,OCEAN-USDT,0.0011175076193701,-0.08947271159295311,0,1,12,72,0.14285714285714285,1.0,1.0,1.0
2021-01-26 17:59:00,0.3847,0.3864,0.3215,0.3457,BZRX-USDT,0.002901073397157,-0.10137769690668053,0,1,38,47,0.4470588235294118,1.0,1.0,1.0
2021-01-27 05:59:00,0.3457,0.3551,0.3087,0.3124,BZRX-USDT,0.0028892455858748,-0.09632629447497831,0,1,11,74,0.12941176470588237,1.0,1.0,1.0
